Hora,Liga,Local,Visitante,ODDS,Mercado,Marcador_HT,Marcador_FT,Corners_total,Estado,Prob_Modelo,Prob_Historico
2025-12-01 08:00,Portugal LigaPro,Paços de Ferreira,Felgueiras 1932,1.92,BTTS YES,0-1,1-1,6,VERDE,62.0,62.0
2025-12-01 11:00,Croatia Prva HNL,Gorica,Dinamo Zagreb,1.76,BTTS YES,0-1,0-2,7,ROJO,65.0,65.0
2025-12-01 12:00,Poland Ekstraklasa,Motor Lublin,Legia Warszawa,1.58,BTTS YES,1-1,1-1,6,VERDE,67.0,67.0
2025-12-01 14:00,England Championship,Birmingham City,Watford,1.88,BTTS YES,2-0,2-1,12,VERDE,60.0,60.0
2025-12-01 08:00,Portugal LigaPro,Paços de Ferreira,Felgueiras 1932,1.44,GOL HT,0-1,1-1,6,VERDE,70.0,75.0
2025-12-01 11:00,Turkey Süper Lig,Fenerbahçe,Galatasaray,1.3,GOL HT,0-1,1-1,10,VERDE,83.0,85.0
2025-12-01 12:00,Poland Ekstraklasa,Motor Lublin,Legia Warszawa,1.32,GOL HT,1-1,1-1,6,VERDE,70.0,78.0
2025-12-01 14:00,England Championship,Birmingham City,Watford,1.4,GOL HT,2-0,2-1,12,VERDE,75.0,75.0
2025-12-01 08:00,Portugal LigaPro,Paços de Ferreira,Felgueiras 1932,1.37,OVER 1.5,0-1,1-1,6,VERDE,90.0,81.0
2025-12-01 11:00,Turkey Süper Lig,Fenerbahçe,Galatasaray,1.22,OVER 1.5,0-1,1-1,10,VERDE,75.0,92.0
2025-12-01 11:00,Croatia Prva HNL,Gorica,Dinamo Zagreb,1.2,OVER 1.5,0-1,0-2,7,VERDE,81.0,85.0
2025-12-01 12:00,Poland Ekstraklasa,Motor Lublin,Legia Warszawa,1.2,OVER 1.5,1-1,1-1,6,VERDE,74.0,86.0
2025-12-01 11:00,Turkey Süper Lig,Fenerbahçe,Galatasaray,,Team Over 1.5,0-1,1-1,10,ROJO,,
2025-12-02 07:30,Netherlands Eredivisie,Ajax,Groningen,1.64,BTTS YES,1-0,2-0,8,ROJO,68.0,68.0
2025-12-02 07:30,Netherlands Eredivisie,Ajax,Groningen,1.3,GOL HT,1-0,2-0,8,VERDE,84.0,79.0
2025-12-02 10:00,Bulgaria First League,Arda,Botev Plovdiv,1.58,GOL HT,0-0,0-0,14,ROJO,83.0,72.0
2025-12-02 07:30,Netherlands Eredivisie,Ajax,Groningen,1.2,OVER 1.5,1-0,2-0,8,VERDE,92.0,86.0
2025-12-02 10:00,Bulgaria First League,Arda,Botev Plovdiv,1.48,OVER 1.5,0-0,0-0,14,ROJO,78.0,78.0
2025-12-02 16:00,,Vasco da Gama,Mirassol,1.28,OVER 1.5,0-0,0-2,11,VERDE,81.0,80.0
2025-12-02 14:00,Spain La Liga,FC Barcelona,Atlético Madrid,,Team Over 1.5,1-1,3-1,9,VERDE,,
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,1.98,BTTS YES,1-0,2-1,4,VERDE,68.0,68.0
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,1.38,GOL HT,1-0,2-1,4,VERDE,82.0,81.0
2025-12-03 13:30,England Premier League,Arsenal,Brentford,1.37,GOL HT,1-0,2-0,12,VERDE,92.0,74.0
2025-12-03 21:10,Mexico Liga MX,Monterrey,Toluca,1.31,GOL HT,1-0,1-0,10,VERDE,87.0,78.0
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,1.33,OVER 1.5,1-0,2-1,4,VERDE,76.0,89.0
2025-12-03 16:00,,Fortaleza,Corinthians,1.45,OVER 1.5,1-0,2-1,7,VERDE,70.0,73.0
2025-12-03 19:00,Mexico Liga MX,Cruz Azul,Tigres UANL,1.28,OVER 1.5,0-0,1-1,7,VERDE,79.0,89.0
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,,Team Over 1.5,1-0,2-1,4,VERDE,,
2025-12-03 12:00,Spain La Liga,Athletic Club Bilbao,Real Madrid,,Team Over 1.5,0-2,0-3,12,VERDE,,
2025-12-04 10:00,Bulgaria First League,Slavia Sofia,Levski Sofia,1.38,GOL HT,2-0,2-0,7,VERDE,71.0,81.0
2025-12-04 10:00,Bulgaria First League,Slavia Sofia,Levski Sofia,1.27,OVER 1.5,2-0,2-0,7,VERDE,71.0,88.0
2025-12-04 10:00,Bulgaria First League,Slavia Sofia,Levski Sofia,,Team Over 1.5,2-0,2-0,7,ROJO,,
2025-12-05 11:00,Croatia Prva HNL,Slaven Koprivnica,Gorica,1.79,BTTS YES,1-1,2-1,6,VERDE,64.0,64.0
2025-12-05 11:00,Turkey Süper Lig,Galatasaray,Samsunspor,1.66,BTTS YES,2-0,3-2,4,VERDE,65.0,66.0
2025-12-05 13:00,Netherlands Eerste Divisie,ADO Den Haag,Emmen,1.72,BTTS YES,1-1,2-1,14,VERDE,71.0,71.0
2025-12-05 13:30,Poland Ekstraklasa,Lechia Gdańsk,Górnik Zabrze,1.57,BTTS YES,3-2,5-2,9,VERDE,68.0,68.0
2025-12-05 11:00,Croatia Prva HNL,Slaven Koprivnica,Gorica,1.41,GOL HT,1-1,2-1,6,VERDE,77.0,77.0
2025-12-05 11:00,Czech Republic First League,Teplice,Slavia Praha,1.41,GOL HT,0-0,1-2,8,ROJO,75.0,74.0
2025-12-05 11:00,Turkey Süper Lig,Galatasaray,Samsunspor,1.27,GOL HT,2-0,3-2,4,VERDE,77.0,80.0
2025-12-05 13:30,Poland Ekstraklasa,Lechia Gdańsk,Górnik Zabrze,1.33,GOL HT,3-2,5-2,9,VERDE,77.0,80.0
2025-12-05 11:00,Croatia Prva HNL,Slaven Koprivnica,Gorica,1.29,OVER 1.5,1-1,2-1,6,VERDE,85.0,83.0
2025-12-05 13:30,Poland Ekstraklasa,Lechia Gdańsk,Górnik Zabrze,1.21,OVER 1.5,3-2,5-2,9,VERDE,85.0,87.0
2025-12-05 13:00,Netherlands Eerste Divisie,ADO Den Haag,Emmen,,Team Over 1.5,1-1,2-1,14,VERDE,,
2025-12-05 11:00,Turkey Süper Lig,Galatasaray,Samsunspor,,Team Over 1.5,2-0,3-2,4,VERDE,,
2025-12-05 13:00,Netherlands Eerste Divisie,Almere City,Ajax II,,Team Over 1.5,1-0,3-2,15,VERDE,,
